Date,Open,High,Low,Close,Year,Month
2019-07-01,109.6,110.6,81.75,91.3,2019,7
2019-08-01,89.2,92.4,53.15,59.5,2019,8
2019-09-01,59.5,72.55,40.95,41.45,2019,9
2019-10-01,42.0,76.65,29.05,70.45,2019,10
2019-11-01,71.0,75.35,59.95,68.3,2019,11
2019-12-01,70.0,70.5,40.7,46.95,2019,12
2020-01-01,46.9,48.5,36.55,39.2,2020,1
2020-02-01,39.1,40.7,33.6,34.55,2020,2
2020-03-01,35.2,87.95,5.55,22.45,2020,3
2020-04-01,22.3,30.45,20.3,27.95,2020,4
2020-05-01,27.8,31.6,25.2,26.85,2020,5
2020-06-01,27.75,31.95,25.55,25.6,2020,6
2020-07-01,25.6,28.3,11.1,11.95,2020,7
2020-08-01,12.0,17.16,11.85,14.37,2020,8
2020-09-01,14.3,15.34,12.75,13.15,2020,9
2020-10-01,13.3,14.01,12.11,12.42,2020,10
2020-11-01,12.41,14.9,12.21,14.67,2020,11
